DataKey,Date,Length,week,Comments,GeneticSex,AssignType,Adipose,GenPBT_Rgroup,Stock,BY,Basin,GenStock,GenStockProb,Big,Month,GenPa,GenMa
OmyZON623S_0326,44810,676,2,,F,PBT,AD,2019-NIAG-PAHS-PahsimeroiR-AdClip,Pahsimeroi,2019,Snake,UPSALM,0.982114756,Small,9,OmyPAHH19S_0161,OmyPAHH19S_0761
OmyZON623S_0327,44810,645,2,,M,PBT,AD,2020-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2020,Snake,SFCLWR,0.999662758,Small,9,OmyDWOR20S_0182,OmyDWOR20S_1098
OmyZON623S_0328,44810,815,2,,F,GSI,AD,Unassigned,SFCLWR,,Snake,SFCLWR,0.999422766,Large,9,NA,NA
OmyZON623S_0325,44810,740,2,This sample is a duplicate with OmyZON623S_0330. Retain this sample,M,PBT,AD,2019-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,Wallowa-WA,2019,Snake,MGILCS,0.82601252,Small,9,OmyWALL19S_0642,OmyWALL19S_0680
OmyZON623S_0049,44811,790,2,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999991962,Large,9,OmyDWOR19S_0157,OmyDWOR19S_0028
OmyZON623S_0050,44811,725,2,,M,PBT,AD,2019-NIAG-PAHS-PahsimeroiR-AdClip,Pahsimeroi,2019,Snake,MGILCS,0.69530794,Small,9,OmyPAHH19S_0094,OmyPAHH19S_0694
OmyZON623S_0051,44811,810,2,,F,PBT,AD,2019-DWOR-DWOR-ClearCr-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999894239,Large,9,OmyDWOR19S_0518,OmyDWOR19S_0245
OmyZON623S_0052,44811,890,2,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.99852384,Large,9,OmyDWOR19S_0538,OmyDWOR19S_0403
OmyZON623S_0053,44811,825,2,,M,PBT,AD,2019-CLWH-SFCR-MeadowCr-AdClip,SF Clearwater,2019,Snake,SFCLWR,0.999400773,Large,9,OmyDWOR19S_1054,OmyDWOR19S_1244
OmyZON623S_0054,44811,810,2,,F,PBT,AD,2019-DWOR-DWOR-RedHouse-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999999604,Large,9,OmyDWOR19S_0727,OmyDWOR19S_0474
OmyZON623S_0055,44811,935,2,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999992299,Large,9,OmyDWOR19S_0146,OmyDWOR19S_0004
OmyZON623S_0056,44811,740,2,,M,PBT,AD,2019-NIAG-PAHS-PahsimeroiR-AdClip,Pahsimeroi,2019,Snake,MGILCS,0.873063761,Small,9,OmyPAHH19S_0091,OmyPAHH19S_0691
